Target affinity,Target logps,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-6.0,3.0,2.968400000000001,0.88896531371296,1.6737537567026042,38.33,-6.0,-6_3
-6.0,3.0,1.48542,0.37618304623671805,1.8671228827163286,69.16,-5.3,-6_3
-6.0,3.0,3.0524000000000013,0.7648184035787258,2.2315813549229073,33.120000000000005,-6.0,-6_3
-6.0,3.0,2.9377000000000013,0.8200988843455338,1.7071094771372408,41.129999999999995,-6.7,-6_3
-6.0,3.0,2.6971000000000007,0.8386127640343907,1.5148639865018545,38.33,-6.0,-6_3
-6.0,3.0,2.775500000000001,0.5151386827137255,2.262401234951877,50.72,-5.9,-6_3
-6.0,3.0,3.118520000000001,0.648579293490289,1.6337674954737729,12.89,-5.8,-6_3
-6.0,3.0,3.293790000000002,0.6720006264293422,2.601893090732947,42.09,-6.4,-6_3
-6.0,3.0,2.8062200000000015,0.7661510865823722,3.06044811789174,51.66,-6.2,-6_3
-6.0,3.0,2.6745,0.6564292024486228,2.603164863308198,39.42,-6.1,-6_3
